series,date,state,sector,value
abs,01/01/2016,Selangor,Mining & Quarrying,642.954
abs,01/01/2016,Selangor,Manufacturing,78710.259
abs,01/01/2016,Selangor,Construction,16242.991
abs,01/01/2016,Selangor,Services,173869.515
abs,01/01/2016,Selangor,Import Duties,8501.073
abs,01/01/2016,Terengganu,Overall GDP,32133.081
abs,01/01/2016,Terengganu,Agriculture,2681.315
abs,01/01/2016,Terengganu,Mining & Quarrying,159.386
abs,01/01/2016,Terengganu,Manufacturing,12115.969
abs,01/01/2016,Terengganu,Construction,919.66
abs,01/01/2016,Terengganu,Services,16207.034
abs,01/01/2016,Terengganu,Import Duties,49.718
abs,01/01/2016,W.P. Kuala Lumpur,Overall GDP,191640.985
abs,01/01/2016,W.P. Kuala Lumpur,Agriculture,0
abs,01/01/2016,W.P. Kuala Lumpur,Mining & Quarrying,129.065
abs,01/01/2016,W.P. Kuala Lumpur,Manufacturing,5794.6
abs,01/01/2016,W.P. Kuala Lumpur,Construction,14509.479
abs,01/01/2016,W.P. Kuala Lumpur,Services,168742.436
abs,01/01/2016,W.P. Kuala Lumpur,Import Duties,2463.885
abs,01/01/2016,W.P. Labuan,Overall GDP,6412.031
abs,01/01/2016,W.P. Labuan,Agriculture,114.448
abs,01/01/2016,W.P. Labuan,Mining & Quarrying,0
abs,01/01/2016,W.P. Labuan,Manufacturing,1255.813
abs,01/01/2016,W.P. Labuan,Construction,120.57
abs,01/01/2016,W.P. Labuan,Services,4844.388
abs,01/01/2016,W.P. Labuan,Import Duties,76.813
abs,01/01/2017,Johor,Overall GDP,123561.327
abs,01/01/2017,Johor,Agriculture,16169.986
abs,01/01/2017,Johor,Mining & Quarrying,655.514
abs,01/01/2017,Johor,Manufacturing,36465.306
abs,01/01/2017,Johor,Construction,8407.258
abs,01/01/2017,Johor,Services,59999.052
abs,01/01/2017,Johor,Import Duties,1864.21
abs,01/01/2017,Kedah,Overall GDP,43066.583
abs,01/01/2017,Kedah,Agriculture,5465.003
abs,01/01/2017,Kedah,Mining & Quarrying,109.592
abs,01/01/2017,Kedah,Manufacturing,12449.393
abs,01/01/2017,Kedah,Construction,928.052
abs,01/01/2017,Kedah,Services,23808.188
abs,01/01/2017,Kedah,Import Duties,306.354
abs,01/01/2017,Kelantan,Overall GDP,23501.175
abs,01/01/2017,Kelantan,Agriculture,5476.893
abs,01/01/2017,Kelantan,Mining & Quarrying,300.233
abs,01/01/2017,Kelantan,Manufacturing,1277.854
abs,01/01/2017,Kelantan,Construction,520.898
abs,01/01/2017,Kelantan,Services,15899.029
abs,01/01/2017,Kelantan,Import Duties,26.268
abs,01/01/2017,Melaka,Overall GDP,40829.986
abs,01/01/2017,Melaka,Agriculture,4625.117
abs,01/01/2017,Melaka,Mining & Quarrying,56.59
abs,01/01/2017,Melaka,Manufacturing,15620.547
abs,01/01/2017,Melaka,Construction,1720.331
abs,01/01/2017,Melaka,Services,18613.275
abs,01/01/2017,Melaka,Import Duties,194.127
abs,01/01/2017,Negeri Sembilan,Overall GDP,43815.729
abs,01/01/2017,Negeri Sembilan,Agriculture,3321.278
abs,01/01/2017,Negeri Sembilan,Mining & Quarrying,217.007
abs,01/01/2017,Negeri Sembilan,Manufacturing,16653.928
abs,01/01/2017,Negeri Sembilan,Construction,1715.817
abs,01/01/2017,Negeri Sembilan,Services,20915.752
abs,01/01/2017,Negeri Sembilan,Import Duties,991.945
abs,01/01/2017,Pahang,Overall GDP,54591.139
abs,01/01/2017,Pahang,Agriculture,12253.554
abs,01/01/2017,Pahang,Mining & Quarrying,709.071
abs,01/01/2017,Pahang,Manufacturing,11531.092
abs,01/01/2017,Pahang,Construction,3230.848
abs,01/01/2017,Pahang,Services,26719.548
abs,01/01/2017,Pahang,Import Duties,147.025
abs,01/01/2017,Perak,Overall GDP,69336.571
abs,01/01/2017,Perak,Agriculture,10941.99
abs,01/01/2017,Perak,Mining & Quarrying,438.054
abs,01/01/2017,Perak,Manufacturing,12691.378
abs,01/01/2017,Perak,Construction,2113.067
abs,01/01/2017,Perak,Services,43027.708
abs,01/01/2017,Perak,Import Duties,124.374
abs,01/01/2017,Perlis,Overall GDP,5694.648
abs,01/01/2017,Perlis,Agriculture,1248.989
abs,01/01/2017,Perlis,Mining & Quarrying,30.706
abs,01/01/2017,Perlis,Manufacturing,458.684
abs,01/01/2017,Perlis,Construction,121.183
abs,01/01/2017,Perlis,Services,3722.87
abs,01/01/2017,Perlis,Import Duties,112.216
abs,01/01/2017,Pulau Pinang,Overall GDP,86767.823
abs,01/01/2017,Pulau Pinang,Agriculture,2034.414
abs,01/01/2017,Pulau Pinang,Mining & Quarrying,143.794
abs,01/01/2017,Pulau Pinang,Manufacturing,37425.53
abs,01/01/2017,Pulau Pinang,Construction,2688.806
abs,01/01/2017,Pulau Pinang,Services,43458.075
abs,01/01/2017,Pulau Pinang,Import Duties,1017.204
abs,01/01/2017,Sabah,Overall GDP,83793.257
abs,01/01/2017,Sabah,Agriculture,13882.585
abs,01/01/2017,Sabah,Mining & Quarrying,25440.572
abs,01/01/2017,Sabah,Manufacturing,6362.349
abs,01/01/2017,Sabah,Construction,2322.385
abs,01/01/2017,Sabah,Services,35433.648
abs,01/01/2017,Sabah,Import Duties,351.717
abs,01/01/2017,Sarawak,Overall GDP,130168.608
abs,01/01/2017,Sarawak,Agriculture,16728.012
abs,01/01/2017,Sarawak,Mining & Quarrying,30213.547
abs,01/01/2017,Sarawak,Manufacturing,34811.03
abs,01/01/2017,Sarawak,Construction,4354.593
abs,01/01/2017,Sarawak,Services,43541.213
abs,01/01/2017,Sarawak,Import Duties,520.213
abs,01/01/2017,Selangor,Overall GDP,302186.45
abs,01/01/2017,Selangor,Agriculture,4319.285
abs,01/01/2017,Selangor,Mining & Quarrying,691.631
abs,01/01/2017,Selangor,Manufacturing,84963.994
abs,01/01/2017,Selangor,Construction,17580.447
abs,01/01/2017,Selangor,Services,186017.921
abs,01/01/2017,Selangor,Import Duties,8613.171
abs,01/01/2017,Terengganu,Overall GDP,33978.557
abs,01/01/2017,Terengganu,Agriculture,2921.319
abs,01/01/2017,Terengganu,Mining & Quarrying,173.812
abs,01/01/2017,Terengganu,Manufacturing,12586.427
abs,01/01/2017,Terengganu,Construction,1275.923
abs,01/01/2017,Terengganu,Services,16916.309
abs,01/01/2017,Terengganu,Import Duties,104.767
abs,01/01/2017,W.P. Kuala Lumpur,Overall GDP,206175.307
abs,01/01/2017,W.P. Kuala Lumpur,Agriculture,0
abs,01/01/2017,W.P. Kuala Lumpur,Mining & Quarrying,145.62
abs,01/01/2017,W.P. Kuala Lumpur,Manufacturing,5870.658
abs,01/01/2017,W.P. Kuala Lumpur,Construction,16406.305
abs,01/01/2017,W.P. Kuala Lumpur,Services,180195.571
abs,01/01/2017,W.P. Kuala Lumpur,Import Duties,3555.524
abs,01/01/2017,W.P. Labuan,Overall GDP,6789.806
abs,01/01/2017,W.P. Labuan,Agriculture,118.722
abs,01/01/2017,W.P. Labuan,Mining & Quarrying,0
